Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR8146935_1	(1, 30.833371448211167)	(2, 31.478463654470463)	(3, 35.20639389827779)	(4, 35.81463682704014)	(5, 36.114092104234075)	(6, 39.47160824372759)	(7, 39.634395559738635)	(8, 39.69338728046823)	(9, 39.64892892367038)	(10, 39.67190798368685)	(15, 39.580222729516365)	(20, 39.47105824616526)	(25, 39.30901732439149)	(30, 39.164097038240584)	(35, 39.12406133865026)	(40, 39.03161037859345)	(45, 38.90713375960586)	(50, 38.835503403341136)	(55, 38.79067452050331)	(60, 38.682317541675005)	(65, 38.56949298159105)	(70, 38.58391069031332)	(75, 38.30302662918136)	(80, 38.66320526992335)	(85, 38.57826011078786)	(90, 38.490019564527806)	(95, 38.380374057355745)	(100, 38.244532592813805)	(105, 38.062306858858186)	(110, 37.95051083880033)	(115, 37.74186972959673)	(120, 37.40938086818195)	(125, 37.19483700466438)	(130, 37.23770780711108)	(135, 36.910829643770725)	(140, 36.69954290854454)	(145, 36.306551299700686)	(150, 36.276499623788624)
SRR8146935_2	(1, 30.58974061654437)	(2, 30.86096106957778)	(3, 34.25970171340709)	(4, 34.98554187561096)	(5, 35.283255235070776)	(6, 38.37171896368239)	(7, 38.562502179612665)	(8, 38.4853327950569)	(9, 38.60145164887059)	(10, 38.58378435578189)	(15, 38.375492309128276)	(20, 38.27995632312094)	(25, 38.131048625788694)	(30, 38.11171677140082)	(35, 37.959530557177274)	(40, 37.888261131040046)	(45, 37.92684955533905)	(50, 37.813988893255534)	(55, 37.6105900580006)	(60, 37.54486574122695)	(65, 37.713234737912146)	(70, 37.64964375923815)	(75, 37.129492375480865)	(80, 37.5741531750775)	(85, 37.42580494640331)	(90, 37.292118073758864)	(95, 37.189187443643675)	(100, 36.90982294168489)	(105, 36.67076700872367)	(110, 36.34770582676837)	(115, 36.00522425540125)	(120, 35.58045771454073)	(125, 35.24677546011638)	(130, 34.87073480100701)	(135, 34.454914306679214)	(140, 33.91943764158433)	(145, 33.454484742311934)	(150, 33.23540948094662)
SRR8146936_1	(1, 30.96688400405047)	(2, 31.51188143100536)	(3, 35.316768286513025)	(4, 35.93264155235738)	(5, 36.14454216332343)	(6, 39.55855537045264)	(7, 39.63466747110101)	(8, 39.74183570278891)	(9, 39.74840752161006)	(10, 39.72673385948376)	(15, 39.648323447240855)	(20, 39.55190209849761)	(25, 39.37898583444428)	(30, 39.28132237866531)	(35, 39.1793525320159)	(40, 39.14008416685282)	(45, 39.03497663658412)	(50, 38.994243341198505)	(55, 38.95043793724004)	(60, 38.732565845677925)	(65, 38.65740092282551)	(70, 38.75148099665446)	(75, 38.44826873642247)	(80, 38.79056878494261)	(85, 38.71979183079155)	(90, 38.605081320513406)	(95, 38.51994870484087)	(100, 38.40756031289704)	(105, 38.28375711399757)	(110, 38.16782860997034)	(115, 37.798174232965884)	(120, 37.45561108931655)	(125, 37.29180436876536)	(130, 37.21165008425752)	(135, 36.95095787706022)	(140, 36.663524803965245)	(145, 36.40082692830111)	(150, 36.17123935408917)
SRR8146936_2	(1, 30.824955672157085)	(2, 31.087093751715397)	(3, 34.39774577919415)	(4, 35.20750823630325)	(5, 35.43978886092414)	(6, 38.51858849413824)	(7, 38.75593355841319)	(8, 38.599959250052365)	(9, 38.796218593983404)	(10, 38.729649405749846)	(15, 38.63154895445314)	(20, 38.55646408708882)	(25, 38.4805003914837)	(30, 38.43604889068879)	(35, 38.34945175005906)	(40, 38.287702351118185)	(45, 38.24978904251417)	(50, 38.283478327826444)	(55, 38.106341755413496)	(60, 38.0960218194849)	(65, 38.16796823946068)	(70, 38.02540177575314)	(75, 37.677568094251)	(80, 38.10325729144403)	(85, 37.9830533266035)	(90, 37.88706761729787)	(95, 37.70474262002108)	(100, 37.610259618939935)	(105, 37.279454032793915)	(110, 36.926748469818165)	(115, 36.63367862371689)	(120, 36.28364556731572)	(125, 35.953544223188345)	(130, 35.54431940768083)	(135, 35.19021567415068)	(140, 34.786387439206635)	(145, 34.368911390581964)	(150, 34.083008963040086)
SRR8146938_1	(1, 30.83401286167572)	(2, 31.488141985670804)	(3, 35.22573459666201)	(4, 35.82667656677932)	(5, 36.12636406021168)	(6, 39.493081639473175)	(7, 39.65447518471899)	(8, 39.71381792871416)	(9, 39.66648340873487)	(10, 39.69252193698917)	(15, 39.603350608741245)	(20, 39.49502522182145)	(25, 39.33680745729369)	(30, 39.18844054833567)	(35, 39.139061177758094)	(40, 39.050595639306835)	(45, 38.930799148555906)	(50, 38.86328163847156)	(55, 38.82309216147748)	(60, 38.71540840840519)	(65, 38.60150249488918)	(70, 38.617021560059854)	(75, 38.33406666685765)	(80, 38.6882091289743)	(85, 38.602471841069075)	(90, 38.51651727671643)	(95, 38.40722511982714)	(100, 38.27338680405988)	(105, 38.091123378411694)	(110, 37.98138520033611)	(115, 37.77693668857984)	(120, 37.444591660701974)	(125, 37.23574979171077)	(130, 37.281488955132154)	(135, 36.95914398433332)	(140, 36.75250825245699)	(145, 36.36160444021452)	(150, 36.334041596706356)
SRR8146938_2	(1, 30.702195086528192)	(2, 30.986256508020293)	(3, 34.42962806848145)	(4, 35.084083373953845)	(5, 35.365202317041)	(6, 38.52239285594551)	(7, 38.725667621752564)	(8, 38.69045611805027)	(9, 38.77093590290127)	(10, 38.78002093728614)	(15, 38.57177549817906)	(20, 38.48993000690044)	(25, 38.34204444688992)	(30, 38.330689189422955)	(35, 38.18681918911088)	(40, 38.12827492600011)	(45, 38.17205113082186)	(50, 38.070925814566344)	(55, 37.87299309875225)	(60, 37.81745480516709)	(65, 37.988311090482966)	(70, 37.93489523123118)	(75, 37.415732142701316)	(80, 37.845568862355336)	(85, 37.70279100466935)	(90, 37.57945864109625)	(95, 37.48856969783042)	(100, 37.2212354617154)	(105, 36.99346017400705)	(110, 36.689709996783236)	(115, 36.3721346455269)	(120, 35.9628085102158)	(125, 35.65095836885555)	(130, 35.29851516461755)	(135, 34.90782762720591)	(140, 34.39251577639097)	(145, 33.951584853798636)	(150, 33.741528381288425)
SRR8146944_1	(1, 30.97656020731829)	(2, 31.388606748070615)	(3, 34.999461503921786)	(4, 35.69756450700513)	(5, 35.97298521269245)	(6, 39.28685342212367)	(7, 39.42177774641102)	(8, 39.54484327441623)	(9, 39.516726361534495)	(10, 39.531935672853635)	(15, 39.466014340451224)	(20, 39.381393298739475)	(25, 39.13836457066685)	(30, 39.01687446145892)	(35, 38.89046636172894)	(40, 38.74497175011045)	(45, 38.55097404956612)	(50, 38.2684397944821)	(55, 37.93851553680911)	(60, 37.66565795722926)	(65, 37.38239998214014)	(70, 37.24281600141727)	(75, 36.39757440913964)	(80, 36.94965949260022)	(85, 36.68106968258078)	(90, 36.2589115429722)	(95, 35.779464478162915)	(100, 35.479053896057835)	(105, 35.03847612991457)	(110, 34.64927940906942)	(115, 34.00943160667714)	(120, 33.21901943662976)	(125, 32.65848742915023)	(130, 32.30457198473703)	(135, 31.740048430439668)	(140, 31.25457723106793)	(145, 30.713422102068325)	(150, 30.245292372803693)
SRR8146944_2	(1, 30.531495809236638)	(2, 30.778868592913888)	(3, 34.056779379363014)	(4, 34.76370896510452)	(5, 35.08308513783231)	(6, 37.881735206841185)	(7, 38.17609217842998)	(8, 38.20730817134942)	(9, 38.246728820864625)	(10, 38.22795371130201)	(15, 38.00200144823218)	(20, 37.92656767892887)	(25, 37.75119812586801)	(30, 37.62609020880541)	(35, 37.45803028180755)	(40, 37.28964238891335)	(45, 37.11772410060713)	(50, 36.777003023571766)	(55, 36.50751523758461)	(60, 36.40793806232871)	(65, 36.12969000557761)	(70, 35.801220396668704)	(75, 35.06102815122828)	(80, 35.63666691271971)	(85, 35.216522968091006)	(90, 34.839700235382736)	(95, 34.35400129411896)	(100, 33.827791345102355)	(105, 33.32330440349722)	(110, 32.51173127839437)	(115, 31.942917874577045)	(120, 31.435397523890252)	(125, 30.921950122768465)	(130, 30.44209582457595)	(135, 29.70697044734963)	(140, 29.23881702259739)	(145, 28.51055128243444)	(150, 28.055042148885615)
SRR8146951_1	(1, 30.894128655700147)	(2, 31.52672597956789)	(3, 35.38171176250435)	(4, 36.00995236698538)	(5, 36.23070015351505)	(6, 39.66220495336369)	(7, 39.76258912969465)	(8, 39.866195731982515)	(9, 39.84161063540628)	(10, 39.842768052848314)	(15, 39.77180329015865)	(20, 39.696991934861686)	(25, 39.55123342712227)	(30, 39.460060500156374)	(35, 39.38500319291358)	(40, 39.313528455548365)	(45, 39.25921878695648)	(50, 39.23345814722792)	(55, 39.14289067813733)	(60, 39.05748741403914)	(65, 39.00551062153947)	(70, 39.04930220662989)	(75, 38.779842718690915)	(80, 39.0768047059921)	(85, 39.054614172074594)	(90, 38.95542239707406)	(95, 38.92641403567123)	(100, 38.84676044968324)	(105, 38.82116457223873)	(110, 38.715763980943414)	(115, 38.62058664093745)	(120, 38.42283473180159)	(125, 38.24271965001915)	(130, 38.28614831106828)	(135, 38.180829171391395)	(140, 37.9887694028546)	(145, 37.82072086414598)	(150, 37.74381347114619)
SRR8146951_2	(1, 30.44714101354747)	(2, 30.90970567564578)	(3, 34.294615104978284)	(4, 35.04813595026339)	(5, 35.332552174371195)	(6, 38.47553983984646)	(7, 38.642125342202)	(8, 38.667473936791886)	(9, 38.74742674065337)	(10, 38.667106420058985)	(15, 38.5428252100998)	(20, 38.40284006219696)	(25, 38.19755266575116)	(30, 38.121561821051664)	(35, 38.09271840783761)	(40, 38.04697892153122)	(45, 38.07318104694609)	(50, 38.01685386427046)	(55, 37.90338984583344)	(60, 38.00253798392583)	(65, 38.03954479454528)	(70, 37.96406603707497)	(75, 37.67747948097768)	(80, 38.06287220765827)	(85, 37.960827399381394)	(90, 37.84576835223942)	(95, 37.7365921121134)	(100, 37.691954504213655)	(105, 37.422451354015905)	(110, 37.16976568991481)	(115, 36.99574174251368)	(120, 36.80150144680349)	(125, 36.55334936508046)	(130, 36.34487662644449)	(135, 35.922868384781204)	(140, 35.656373527877555)	(145, 35.27546469022601)	(150, 34.95699619605509)
