Sample	Unique Reads	Duplicate Reads
SRR8146935_1	33214800.0	6843923.0
SRR8146935_2	35101307.0	4957416.0
SRR8146936_1	24321852.0	14171449.0
SRR8146936_2	28208947.0	10284354.0
SRR8146938_1	40606997.0	5119082.0
SRR8146938_2	42080468.0	3645611.0
SRR8146944_1	18915597.0	8856193.0
SRR8146944_2	21861063.0	5910727.0
SRR8146951_1	34079346.0	13256730.0
SRR8146951_2	38614670.0	8721406.0
SRR8146952_1	31564984.0	9528646.0
SRR8146952_2	34581988.0	6511642.0
SRR8146954_1	29441381.0	8291381.0
SRR8146954_2	31859956.0	5872806.0
SRR8146955_1	36867940.0	5494585.0
SRR8146955_2	38678107.0	3684418.0
SRR8146956_1	34809372.0	5479954.0
SRR8146956_2	36646543.0	3642783.0
SRR8146957_1	43186437.0	7486305.0
SRR8146957_2	45947692.0	4725050.0
SRR8146959_1	32161742.0	4803755.0
SRR8146959_2	33753588.0	3211909.0
SRR8146960_1	27486411.0	19517648.0
SRR8146960_2	32964716.0	14039343.0
SRR8146961_1	27113295.0	4779731.0
SRR8146961_2	28647174.0	3245852.0
SRR8146963_1	24964759.0	5303573.0
SRR8146963_2	26644724.0	3623608.0
SRR8146965_1	25656817.0	7173666.0
SRR8146965_2	27819307.0	5011176.0
SRR8146969_1	28747327.0	7988705.0
SRR8146969_2	29331278.0	7404754.0
SRR8146970_1	22715528.0	8566626.0
SRR8146970_2	23373725.0	7908429.0
SRR8146971_1	32793197.0	5869206.0
SRR8146971_2	34419882.0	4242521.0
SRR8146972_1	25348854.0	1957241.0
SRR8146972_2	25962608.0	1343487.0
SRR8146975_1	27659030.0	7943911.0
SRR8146975_2	30014025.0	5588916.0
