Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8146935_1	(1.0, 71.52349099918669)	(2.0, 16.440840349562695)	(3.0, 5.91646960770303)	(4.0, 2.584909896869779)	(5.0, 1.4081228855652448)	(6.0, 0.775368638283812)	(7.0, 0.4199049307746186)	(8.0, 0.2470255229866008)	(9.0, 0.1322536355773476)	('>10', 0.5426469780253237)	('>50', 0.0)	('>100', 0.0017348702440675454)	('>500', 0.00723168522085996)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146935_2	(1.0, 79.273168784854)	(2.0, 12.192382071449604)	(3.0, 4.215276902167536)	(4.0, 1.8670444450148937)	(5.0, 0.9643484040846935)	(6.0, 0.5461560835161728)	(7.0, 0.28500820143361705)	(8.0, 0.17142477280491475)	(9.0, 0.10500536837063179)	('>10', 0.36985696197308815)	('>50', 0.0010646612095825633)	('>100', 0.0017457898470883747)	('>500', 0.007517553274249159)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146936_1	(1.0, 45.503383945787014)	(2.0, 19.391205995044615)	(3.0, 12.311880503714017)	(4.0, 7.631381655679488)	(5.0, 4.4302325613192055)	(6.0, 2.621237714444157)	(7.0, 1.5815048684065838)	(8.0, 1.0537561929951973)	(9.0, 0.6242508771142934)	('>10', 3.600782155133582)	('>50', 0.9244426786608242)	('>100', 0.31353810302344975)	('>500', 0.005036601060161995)	('>1k', 0.007366147617283611)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146936_2	(1.0, 60.05260112257754)	(2.0, 15.008182669354369)	(3.0, 9.182265730770474)	(4.0, 5.2920340948241495)	(5.0, 3.0595477823924506)	(6.0, 1.7516410788796473)	(7.0, 1.0413246962177551)	(8.0, 0.6240143375389753)	(9.0, 0.4373899676019696)	('>10', 2.6116775922591695)	('>50', 0.7371885516801011)	('>100', 0.1895159788001509)	('>500', 0.001961534897494364)	('>1k', 0.010654862205860408)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146938_1	(1.0, 80.14969330316724)	(2.0, 13.894491456285829)	(3.0, 3.66791980639604)	(4.0, 1.2688272415342434)	(5.0, 0.47095183252543715)	(6.0, 0.23523990711811849)	(7.0, 0.10366297629131886)	(8.0, 0.07859088383450728)	(9.0, 0.03227888193993712)	('>10', 0.07390004562600518)	('>50', 0.0065121275575448995)	('>100', 0.016232633545133743)	('>500', 0.0016989041786518956)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146938_2	(1.0, 85.82154037183365)	(2.0, 9.995449555017293)	(3.0, 2.6401810008817206)	(4.0, 0.8556334052196342)	(5.0, 0.35749842739446036)	(6.0, 0.1306931259803312)	(7.0, 0.06843895669231422)	(8.0, 0.036272865139290636)	(9.0, 0.020174095269758826)	('>10', 0.05173432743501296)	('>50', 0.005488311102806927)	('>100', 0.015129177211661371)	('>500', 0.001766380822042963)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146944_1	(1.0, 54.47751081638509)	(2.0, 12.421222152570325)	(3.0, 9.271418886591174)	(4.0, 7.408035569034116)	(5.0, 5.246455612408296)	(6.0, 3.644307338008991)	(7.0, 2.3960669404620827)	(8.0, 1.4895822969827002)	(9.0, 0.9874713796501313)	('>10', 2.6416568467326127)	('>50', 0.0054729981711632925)	('>100', 0.005544750173686506)	('>500', 0.005254412829621215)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146944_2	(1.0, 69.12364240136714)	(2.0, 9.16773136703827)	(3.0, 6.645239921525975)	(4.0, 5.003596469305068)	(5.0, 3.4212615011259597)	(6.0, 2.3044865223980464)	(7.0, 1.4086299399104503)	(8.0, 0.8602682884096012)	(9.0, 0.5377634055744887)	('>10', 1.5137202685769693)	('>50', 0.0010922870188372511)	('>100', 0.007119275242996357)	('>500', 0.005448352506191038)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146951_1	(1.0, 56.14984496444683)	(2.0, 19.07756529958152)	(3.0, 10.570948293603584)	(4.0, 5.8690936072292885)	(5.0, 3.4519715570513725)	(6.0, 1.7665865389375737)	(7.0, 0.9511446573382626)	(8.0, 0.5677023825569556)	(9.0, 0.3244766717881017)	('>10', 1.230391135337337)	('>50', 0.026815721784260792)	('>100', 0.009281516661436128)	('>500', 0.004177653683475075)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146951_2	(1.0, 70.74027230600188)	(2.0, 13.51695916580891)	(3.0, 7.02563938906384)	(4.0, 3.908574456917676)	(5.0, 2.014100965878506)	(6.0, 1.0026121154590135)	(7.0, 0.5400637967643382)	(8.0, 0.27183335618744275)	(9.0, 0.17234676170335977)	('>10', 0.7854991819824519)	('>50', 0.017175857286740752)	('>100', 0.0025641003971449794)	('>500', 0.002358546548713721)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146952_1	(1.0, 64.95591160347084)	(2.0, 15.560560357910171)	(3.0, 6.151074141921116)	(4.0, 3.3348948832769976)	(5.0, 2.139903345053346)	(6.0, 1.3183358193121901)	(7.0, 0.9621318774736283)	(8.0, 0.7751298975916416)	(9.0, 0.5926822803367593)	('>10', 3.7340038351065363)	('>50', 0.2718585629216007)	('>100', 0.1868834879512732)	('>500', 0.016629907673659673)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146952_2	(1.0, 75.99018252705851)	(2.0, 10.630129464746409)	(3.0, 4.370291372490491)	(4.0, 2.372294562429227)	(5.0, 1.3868256481161676)	(6.0, 0.8771448231123194)	(7.0, 0.7394135608439071)	(8.0, 0.5026242078371765)	(9.0, 0.4185366646126511)	('>10', 2.4223866053294834)	('>50', 0.17348595445223403)	('>100', 0.10087268647002642)	('>500', 0.015811922501406946)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146954_1	(1.0, 65.16412789725625)	(2.0, 16.087937565659644)	(3.0, 8.043652386809638)	(4.0, 4.698912342009193)	(5.0, 2.663575840155369)	(6.0, 1.319559265302405)	(7.0, 0.6778184199910944)	(8.0, 0.30155910596095126)	(9.0, 0.17371302412545261)	('>10', 0.8618911773397091)	('>50', 0.0032464345605334737)	('>100', 0.001145844090374968)	('>500', 0.0028606967393394922)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146954_2	(1.0, 75.06194109542992)	(2.0, 11.939691697961509)	(3.0, 5.959433618569325)	(4.0, 3.2837517585264533)	(5.0, 1.6616893496471306)	(6.0, 0.8259376011671605)	(7.0, 0.3656791404311957)	(8.0, 0.17451343974109523)	(9.0, 0.11010276322957345)	('>10', 0.6161879672163065)	('>50', 0.0010715680803071504)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146955_1	(1.0, 77.13883943515101)	(2.0, 15.867388826479717)	(3.0, 4.270344613642362)	(4.0, 1.371372454206762)	(5.0, 0.4821313271849534)	(6.0, 0.2172275226869633)	(7.0, 0.11680349811539092)	(8.0, 0.08065371699398304)	(9.0, 0.05753678262261444)	('>10', 0.3897767969137116)	('>50', 0.0021343639894446675)	('>100', 0.0015621270647384524)	('>500', 0.004228534948313311)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146955_2	(1.0, 84.59617233798494)	(2.0, 10.895309449047815)	(3.0, 2.7697043115100644)	(4.0, 0.8487692729090048)	(5.0, 0.3154079531949678)	(6.0, 0.12269484538213933)	(7.0, 0.08659408386904444)	(8.0, 0.0483898282273963)	(9.0, 0.037345426903564655)	('>10', 0.2712812715023906)	('>50', 0.0010967589545310124)	('>100', 0.0029762246608873136)	('>500', 0.004258235853274622)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146956_1	(1.0, 76.37174637718725)	(2.0, 15.789670642585197)	(3.0, 4.338918196405877)	(4.0, 1.5773145228829653)	(5.0, 0.7012826999105055)	(6.0, 0.40744070650271447)	(7.0, 0.20852166150509857)	(8.0, 0.13415400992076373)	(9.0, 0.092920337591211)	('>10', 0.35551198489356495)	('>50', 0.017473530968865995)	('>100', 0.005045329645977892)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
