Sample	0	1	2
SRR8146935_1	(149, 126.0)	(150, 40058597.0)	
SRR8146935_2	(149, 107.0)	(150, 40058616.0)	
SRR8146936_1	(150, 38493301.0)		
SRR8146936_2	(150, 38493301.0)		
SRR8146938_1	(149, 151.0)	(150, 45725928.0)	
SRR8146938_2	(149, 107.0)	(150, 45725972.0)	
SRR8146944_1	(149, 209.0)	(150, 27771581.0)	
SRR8146944_2	(150, 27771790.0)		
SRR8146951_1	(150, 47336076.0)		
SRR8146951_2	(148, 158.0)	(149, 59.0)	(150, 47335859.0)
SRR8146952_1	(150, 41093630.0)		
SRR8146952_2	(148, 112.0)	(149, 64.0)	(150, 41093454.0)
SRR8146954_1	(149, 3.0)	(150, 37732759.0)	
SRR8146954_2	(150, 37732762.0)		
SRR8146955_1	(149, 3.0)	(150, 42362522.0)	
SRR8146955_2	(150, 42362525.0)		
SRR8146956_1	(150, 40289326.0)		
SRR8146956_2	(148, 108.0)	(149, 62.0)	(150, 40289156.0)
SRR8146957_1	(150, 50672742.0)		
SRR8146957_2	(148, 155.0)	(149, 69.0)	(150, 50672518.0)
SRR8146959_1	(150, 36965497.0)		
SRR8146959_2	(148, 102.0)	(149, 39.0)	(150, 36965356.0)
SRR8146960_1	(149, 21.0)	(150, 47004038.0)	
SRR8146960_2	(150, 47004059.0)		
SRR8146961_1	(149, 6.0)	(150, 31893020.0)	
SRR8146961_2	(150, 31893026.0)		
SRR8146963_1	(149, 247.0)	(150, 30268085.0)	
SRR8146963_2	(150, 30268332.0)		
SRR8146965_1	(150, 32830483.0)		
SRR8146965_2	(148, 92.0)	(149, 28.0)	(150, 32830363.0)
SRR8146969_1	(149, 1714.0)	(150, 36734318.0)	
SRR8146969_2	(148, 29.0)	(149, 2885.0)	(150, 36733118.0)
SRR8146970_1	(149, 1289.0)	(150, 31280865.0)	
SRR8146970_2	(148, 19.0)	(149, 2251.0)	(150, 31279884.0)
SRR8146971_1	(149, 116.0)	(150, 38662287.0)	
SRR8146971_2	(149, 101.0)	(150, 38662302.0)	
SRR8146972_1	(149, 71.0)	(150, 27306024.0)	
SRR8146972_2	(149, 66.0)	(150, 27306029.0)	
SRR8146975_1	(150, 35602941.0)		
SRR8146975_2	(150, 35602941.0)		
