Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR8146935_1	17.08472695553337	53.0	149.99999685461765	150	0.0	40.058723
SRR8146935_2	12.375374162415767	53.0	149.99999732892135	150	0.0	40.058723
SRR8146936_1	36.81536437281684	48.0	150.0	150	0.0	38.493300999999995
SRR8146936_2	26.7172587150378	48.0	150.0	150	0.0	38.493300999999995
SRR8146938_1	11.19510414042621	51.0	149.9999966977269	150	0.0	45.726079
SRR8146938_2	7.972718754331424	51.0	149.99999765997867	150	0.0	45.726079
SRR8146944_1	31.889172267479708	48.0	149.9999924743778	150	0.0	27.77179
SRR8146944_2	21.283205580178375	48.0	150.0	150	0.0	27.77179
SRR8146951_1	28.00555393956678	44.0	150.0	150	0.0	47.336076
SRR8146951_2	18.424439736938126	44.0	149.99999207792382	150	0.0	47.336076
SRR8146952_1	23.187648194229823	45.0	150.0	150	0.0	41.09363
SRR8146952_2	15.84586924850207	45.0	149.9999929916145	150	0.0	41.09363
SRR8146954_1	21.973958154353028	47.0	149.9999999204935	150	0.0	37.732762
SRR8146954_2	15.564211134664902	47.0	150.0	150	0.0	37.732762
SRR8146955_1	12.97039271621125	45.0	149.99999992918268	150	0.0	42.362525
SRR8146955_2	8.697353358178162	45.0	150.0	150	0.0	42.362525
SRR8146956_1	13.601504990252579	44.0	150.0	150	0.0	40.289325999999996
SRR8146956_2	9.041560300263	44.0	149.9999930999094	150	0.0	40.289325999999996
SRR8146957_1	14.773831439362837	45.0	150.0	150	0.0	50.672742
SRR8146957_2	9.324640003410806	45.0	149.99999252063367	150	0.0	50.672742
SRR8146959_1	12.99524109187226	45.0	150.0	150	0.0	36.965497
SRR8146959_2	8.688939812452162	45.0	149.99999342630238	150	0.0	36.965497
SRR8146960_1	41.523325629876325	43.0	149.99999955323008	150	0.0	47.004059
SRR8146960_2	29.868364132190962	43.0	150.0	150	0.0	47.004059
SRR8146961_1	14.986759638988445	46.0	149.9999998118711	150	0.0	31.893026
SRR8146961_2	10.177311315509229	46.0	150.0	150	0.0	31.893026
SRR8146963_1	17.521856815928118	50.0	149.99999183965605	150	0.0	30.268331999999997
SRR8146963_2	11.971616740713529	50.0	150.0	150	0.0	30.268331999999997
SRR8146965_1	21.85062844626809	48.0	150.0	150	0.0	32.830483
SRR8146965_2	15.263792061789687	48.0	149.99999354258662	150	0.0	32.830483
SRR8146969_1	21.74624060252522	52.0	149.99995334281067	150	10.0	36.736032
SRR8146969_2	20.156652900805867	52.0	149.99991988791822	150	10.0	36.736032
SRR8146970_1	27.385028317118497	51.0	149.9999587943976	150	0.0	31.282154
SRR8146970_2	25.280960941859476	51.0	149.99992682728944	150	0.0	31.282154
SRR8146971_1	15.180655086082837	50.0	149.99999699966915	150	0.0	38.662403
SRR8146971_2	10.973248219261222	50.0	149.99999738764296	150	0.0	38.662403
SRR8146972_1	7.16778190165445	52.0	149.9999973998479	150	0.0	27.306095
SRR8146972_2	4.92010279865832	52.0	149.9999975829572	150	0.0	27.306095
SRR8146975_1	22.312513640812966	47.0	150.0	150	0.0	35.602941
SRR8146975_2	15.697905557640553	47.0	150.0	150	0.0	35.602941
